code,category,date,time_start,time_end,location
165,汽車竊盜,105-08-02,20,22,台北市文山區景美里羅斯福路6段331~360號
166,汽車竊盜,105-08-03,12,14,台北市士林區永倫里通河西街2段181~210號
167,汽車竊盜,105-08-08,02,04,台北市松山區濱江街841~870號
168,汽車竊盜,105-08-08,12,14,台北市萬華區環河南路2段241~270號
169,汽車竊盜,105-08-09,12,14,台北市北投區中和里大屯路21巷2弄1~30號
170,汽車竊盜,105-08-12,02,04,台北市士林區富洲里延平北路8段181~210號
171,汽車竊盜,105-08-12,08,10,台北市文山區萬興里031鄰新光路2段91~120號
172,汽車竊盜,105-08-14,12,14,台北市萬華區西園路2段1~30號
173,汽車竊盜,105-08-14,12,14,台北市萬華區艋舺大道260巷
174,汽車竊盜,105-08-15,00,02,台北市萬華區華中河濱公園
175,汽車竊盜,105-08-15,10,12,台北市北投區奇岩里磺港路151~180號
176,汽車竊盜,105-08-21,10,12,台北市士林區福安里延平北路7段177巷
177,汽車竊盜,105-08-24,04,06,台北市士林區翠山里中社路1段11巷61~90號
178,汽車竊盜,105-08-26,02,04,台北市士林區社子里通河西街1~30號
179,汽車竊盜,105-08-28,22,24,台北市大安區住安里四維路91~120號
180,汽車竊盜,105-08-31,02,04,台北市萬華區武昌街2段91~120號
181,汽車竊盜,105-08-31,22,24,台北市士林區社子里2鄰通河西街2段1~30號
182,汽車竊盜,105-09-04,10,12,台北市士林區永倫里延平北路6段481~510號
183,汽車竊盜,105-09-04,12,14,台北市北投區稻香里稻香路181~210號
184,汽車竊盜,105-09-10,02,04,台北市內湖區康樂街136巷29弄31~60號
185,汽車竊盜,105-09-11,00,02,台北市北投區關渡里知行路292巷14弄
186,汽車竊盜,105-09-21,04,06,台北市萬華區東園街121~150號
187,汽車竊盜,105-09-21,14,16,台北市萬華區環河南路1段61~90號
188,汽車竊盜,105-09-29,02,04,台北市萬華區康定路61~90號
189,汽車竊盜,105-09-29,08,10,台北市內湖區成功路2段406巷
190,汽車竊盜,105-10-02,14,16,台北市松山區民族東路751~780號
191,汽車竊盜,105-10-04,18,20,台北市文山區木新里034鄰木新路2段161巷1~30號
192,汽車竊盜,105-10-10,00,02,台北市北投區豐年里中央北路2段257巷
193,汽車竊盜,105-10-20,20,22,台北市士林區葫東里通河西街1段61~90號
194,汽車竊盜,105-10-24,12,14,台北市大安區黎元里臥龍街181~210號
195,汽車竊盜,105-10-27,04,06,台北市萬華區萬大路391~420號
196,汽車竊盜,105-11-01,14,16,台北市松山區撫遠街一帶
197,汽車竊盜,105-11-06,14,16,台北市南港區中研里研究院路2段150巷(口)
198,汽車竊盜,105-11-07,10,12,台北市北投區豐年里大業路527巷(第13號
199,汽車竊盜,105-11-08,18,20,台北市北投區清江里三合街2段(與大業路口)
200,汽車竊盜,105-11-15,04,06,台北市士林區葫東里重慶北路4段181~210號
201,汽車竊盜,105-11-16,06,08,台北市內湖區安康路28之1~30號
202,汽車竊盜,105-12-08,10,12,台北市北投區關渡里知行路316巷61~90號
203,汽車竊盜,105-12-09,22,24,台北市北投區豐年里大業路527巷(內)
204,汽車竊盜,105-12-16,22,24,台北市中山區林森北路451~480號
205,汽車竊盜,105-12-18,06,08,台北市北投區關渡里知行路151~180號
206,汽車竊盜,105-12-18,08,10,台北市北投區豐年里大業路527巷(第27號
207,汽車竊盜,105-12-20,08,10,台北市萬華區糖?里大理街151~180號
208,汽車竊盜,105-12-22,22,24,台北市大安區黎和里和平東路3段636巷
209,汽車竊盜,105-12-24,22,24,台北市萬華區大理街175巷
210,汽車竊盜,105-12-26,06,08,台北市北投區泉源里珠海路121~150號
211,汽車竊盜,105-12-26,08,10,台北市大同區保安里延平北路4段接五段停車格
212,汽車竊盜,106-01-06,08,10,台北市北投區溫泉里溫泉路121~150號
213,汽車竊盜,106-01-12,20,22,台北市北投區林泉里溫泉路121~150號
214,汽車竊盜,106-01-22,00,02,台北市中山區中山北路1段53巷1~30號
215,汽車竊盜,106-01-22,12,14,台北市北投區榮華里東華街1段22巷2弄1~30號
216,汽車竊盜,106-01-25,04,06,台北市北投區中央里大業路280巷31~60號
217,汽車竊盜,106-01-26,12,14,台北市萬華區桂林路
218,汽車竊盜,106-02-02,00,02,台北市萬華區內江街
219,汽車竊盜,106-02-09,16,18,台北市松山區長春路451~480號
220,汽車竊盜,106-02-18,04,06,台北市大同區承德路(承德橋堤外停車場)
221,汽車竊盜,106-02-23,20,22,台北市中山區民生東路1段23巷
222,汽車竊盜,106-02-24,10,12,台北市萬華區和平西路3段382巷
223,汽車竊盜,106-02-28,00,02,台北市北投區關渡里知行路181~210號
224,汽車竊盜,106-03-06,06,08,台北市萬華區貴陽街
225,汽車竊盜,106-03-06,18,20,台北市萬華區萬大路387巷29弄31~60號
226,汽車竊盜,106-03-12,02,04,台北市松山區敦化北路331~360號
227,汽車竊盜,106-03-14,02,04,台北市北投區大同里中央北路(與育仁路口)
228,汽車竊盜,106-03-15,14,16,台北市中山區濱江街331~360號
229,汽車竊盜,106-03-17,10,12,台北市萬華區環河南路1段
230,汽車竊盜,106-03-17,18,20,台北市北投區豐年里中央北路2段257巷(內)
231,汽車竊盜,106-03-22,16,18,台北市北投區大同里北投路1段91巷1~30號
232,汽車竊盜,106-03-29,02,04,台北市士林區福林里福林路254巷(第11號
233,汽車竊盜,106-04-03,10,12,台北市大安區龍坡里辛亥路1段121~150號
234,汽車竊盜,106-04-11,14,16,台北市北投區豐年里大業路421~450號
235,汽車竊盜,106-04-12,00,02,台北市大同區保安里高速公路橋下26號
236,汽車竊盜,106-04-12,10,12,台北市文山區景慶里景福街(底278公車總站旁)
237,汽車竊盜,106-04-16,08,10,台北市中山區大佳河濱公園490號
238,汽車竊盜,106-04-18,10,12,台北市北投區桃源里中央北路3段276巷1~30號
239,汽車竊盜,106-05-03,16,18,台北市大同區永樂里長安西路(塔城街)
240,汽車竊盜,106-05-05,08,10,台北市萬華區東園街121~150號
241,汽車竊盜,106-05-06,08,10,台北市北投區泉源里登山路31~60號
242,汽車竊盜,106-05-06,20,22,台北市士林區福安里延平北路7段46~12號
243,汽車竊盜,106-05-10,04,06,台北市北投區東華里立農街2段151~180號
244,汽車竊盜,106-05-13,22,24,台北市士林區蘭興里磺溪街271~300號
245,汽車竊盜,106-05-28,02,04,台北市士林區永倫里通河西街211~240號
246,汽車竊盜,106-05-31,12,14,台北市士林區芝山里芝玉路121~150號
247,汽車竊盜,106-06-03,08,10,台北市士林區福安里延平北路7段1~30號
248,汽車竊盜,106-06-06,08,10,台北市北投區湖山里湖山路2段1~30號
249,汽車竊盜,106-06-10,12,14,台北市信義區三犁里松德路307巷(口)
250,汽車竊盜,106-06-10,14,16,台北市萬華區(環河南路堤外防洪道1~30號
251,汽車竊盜,106-06-18,04,06,台北市內湖區成功路二段193巷內
252,汽車竊盜,106-06-19,08,10,台北市南港區忠孝東路7段124巷17弄31~60號
253,汽車竊盜,106-06-19,08,10,台北市士林區前港里劍潭路55巷18弄1~30號
254,汽車竊盜,106-06-20,16,18,台北市內湖區潭美街上
255,汽車竊盜,106-06-27,12,14,台北市士林區名山里至誠路2段51巷
256,汽車竊盜,106-07-05,06,08,台北市大同區老師里環河北路2段(汙水處理廠旁停車格)
257,汽車竊盜,106-07-10,08,10,台北市大同區光能里承德路2段109巷
258,汽車竊盜,106-07-10,20,22,台北市大同區承德路2段121~150號
259,汽車竊盜,106-07-17,06,08,台北市內湖區康寧路3段190巷31~60號
260,汽車竊盜,106-08-02,22,24,台北市南港區南港里南港路1段271~300號
261,汽車竊盜,106-08-17,00,02,台北市大同區通河西街1段(第27號
262,汽車竊盜,106-08-25,06,08,台北市士林區福中里17鄰通河東街1段151~180號
263,汽車竊盜,106-08-31,08,10,台北市內湖區安康路1~30號
264,汽車竊盜,106-08-31,10,12,台北市士林區富光里延平北路5段1巷(旁邊37號
265,汽車竊盜,106-09-02,02,04,台北市萬華區峨嵋街61~90號
266,汽車竊盜,106-09-02,20,22,台北市南港區重陽路203巷
267,汽車竊盜,106-09-05,02,04,台北市北投區稻香里稻香路(政戰學校圍牆旁)
268,汽車竊盜,106-09-11,02,04,台北市大同區蓬萊里昌吉街132巷1~30號
269,汽車竊盜,106-09-11,04,06,台北市士林區文林路587巷(口報廢汽車)
270,汽車竊盜,106-09-11,10,12,台北市萬華區環河南路2段(環南市場乙棟後方)
271,汽車竊盜,106-09-17,12,14,台北市北投區大同里北投路1段1~30號
272,汽車竊盜,106-09-19,04,06,台北市中正區東門里中山南路1~30號
273,汽車竊盜,106-09-25,06,08,台北市南港區研究院路101巷之停車格
274,汽車竊盜,106-10-01,18,20,台北市信義區廣居里忠孝東路5段236巷2弄(內)
275,汽車竊盜,106-10-09,00,02,台北市北投區一德里中央北路4段511~540號
276,汽車竊盜,106-10-12,12,14,台北市松山區塔悠路(5號
277,汽車竊盜,106-10-17,02,04,台北市萬華區西藏路125巷1~30號
278,汽車竊盜,106-10-23,14,16,台北市內湖區新湖一路361~390號
279,汽車竊盜,106-10-25,16,18,台北市萬華區(華中橋下第二停車場)
280,汽車竊盜,106-10-25,20,22,台北市萬華區華中橋堤防外停車場
281,汽車竊盜,106-10-28,06,08,台北市南港區舊莊街1段91~120號
282,汽車竊盜,106-10-30,06,08,台北市南港區南港路212巷1~30號
283,汽車竊盜,106-10-30,18,20,台北市士林區社子里通河西街2段1~30號
284,汽車竊盜,106-11-01,10,12,台北市北投區一德里中央北路4段361~390號
285,汽車竊盜,106-11-04,00,02,台北市士林區福佳里文林路587巷
286,汽車竊盜,106-11-04,16,18,台北市萬華區大理街160巷20弄(糖部公園)
287,汽車竊盜,106-11-08,06,08,台北市內湖區民權東路6段120巷口汽車AT~6252
288,汽車竊盜,106-11-09,22,24,台北市北投區洲美里008鄰洲美街139巷(口)
289,汽車竊盜,106-11-12,20,22,台北市士林區蘭興里克強路10巷(磺溪便道上)
290,汽車竊盜,106-11-13,06,08,台北市北投區吉利里致遠二路87巷1~30號
291,汽車竊盜,106-11-13,12,14,台北市中山區劍南路(靠西湖福湖宮)
292,汽車竊盜,106-11-19,10,12,台北市文山區樟林里024鄰興隆路4段58巷16弄1~30號
293,汽車竊盜,106-11-19,16,18,台北市中正區忠勤里中華路2段301巷(底)
294,汽車竊盜,106-12-02,14,16,台北市大同區承德路2段61~90號
295,汽車竊盜,106-12-03,04,06,台北市萬華區桂林路(堤外86號
296,汽車竊盜,106-12-04,04,06,台北市萬華區寶興路80巷1~30號
297,汽車竊盜,106-12-07,14,16,台北市大同區(延平河濱公園5號
298,汽車竊盜,106-12-11,04,06,台北市萬華區桂林路246巷38停車格弄
299,汽車竊盜,106-12-11,12,14,台北市萬華區(桂林堤外便道91~120號
300,汽車竊盜,106-12-12,08,10,台北市萬華區(雙園停車場494號
301,汽車竊盜,106-12-12,08,10,台北市萬華區(長順街底堤外停車場第641號
302,汽車竊盜,106-12-17,16,18,台北市士林區社園里通河西街2段31~60號
303,汽車竊盜,106-12-18,06,08,台北市萬華區長順街(堤外停車場318號
304,汽車竊盜,106-12-22,20,22,台北市內湖區安康路和成功路2段之間無名巷
305,汽車竊盜,106-12-27,18,20,台北市內湖區潭美街與新明路460巷口(路邊80號
306,汽車竊盜,107-01-01,10,12,台北市信義區三犁里松德路301~330號
307,汽車竊盜,107-01-06,16,18,台北市中山區玉門街1~30號
308,汽車竊盜,107-01-11,20,22,台北市萬華區長順街堤外便道
309,汽車竊盜,107-01-11,20,22,台北市北投區榮華里天母西路117巷(堤防旁)
310,汽車竊盜,107-01-14,10,12,台北市萬華區(華中堤外停車場第4車道31~60號
311,汽車竊盜,107-01-15,06,08,台北市士林區福順里008鄰延平北路5段61~90號
312,汽車竊盜,107-01-17,06,08,台北市中正區龍光里寧波西街與泉州街路口
313,汽車竊盜,107-01-18,08,10,台北市文山區景慶里景文街146巷
314,汽車竊盜,107-01-22,04,06,台北市士林區福安里延平北路7段1~30號
315,汽車竊盜,107-01-22,20,22,台北市內湖區安康路106巷31~60號
316,汽車竊盜,107-02-01,00,02,台北市文山區萬美里010鄰萬利街(萬芳國小後門)
317,汽車竊盜,107-02-03,12,14,台北市北投區桃源里中央北路3段168巷(口)
318,汽車竊盜,107-02-14,00,02,台北市萬華區(長順街堤外便道)
319,汽車竊盜,107-02-14,06,08,台北市大同區昌吉街121~150號
320,汽車竊盜,107-02-15,18,20,台北市萬華區西園路2段96巷
321,汽車竊盜,107-02-23,18,20,台北市中山區北安路726~1號
322,汽車竊盜,107-03-02,20,22,台北市萬華區桂林路242巷61~90號
323,汽車竊盜,107-03-03,04,06,台北市萬華區(三清宮前停車格)
324,汽車竊盜,107-03-04,02,04,台北市萬華區大理街160巷20弄1~30號
325,汽車竊盜,107-03-05,06,08,台北市內湖區清白里金湖路181~210號
326,汽車竊盜,107-03-05,14,16,台北市中山區林森北路481~510號
327,汽車竊盜,107-03-06,00,02,台北市士林區福林里福林路254巷(路邊停車格)
328,汽車竊盜,107-03-06,02,04,台北市中山區民生東路1段(林森北路)
329,汽車竊盜,107-03-07,08,10,台北市中山區劍南路648巷口
330,汽車竊盜,107-03-08,04,06,台北市大同區保安街1~30號
331,汽車竊盜,107-03-10,14,16,台北市內湖區彩虹河濱公園
332,汽車竊盜,107-03-21,02,04,台北市大安區忠孝東路4段101巷(內)
333,汽車竊盜,107-04-02,00,02,台北市北投區豐年里中央北路2段92巷1弄1~30號
334,汽車竊盜,107-04-02,14,16,台北市萬華區(華中橋下堤外停車場第二車道)
335,汽車竊盜,107-04-05,16,18,台北市士林區社子里通河西街2段(堤外停車場)
336,汽車竊盜,107-04-21,04,06,台北市北投區東華里東華街2段271~300號
337,汽車竊盜,107-04-22,16,18,台北市萬華區(華中橋堤外停車場第2車場)
338,汽車竊盜,107-04-25,00,02,台北市信義區景聯里吳興街50巷
339,汽車竊盜,107-04-27,22,24,台北市士林區福志里福林路361~390號
340,汽車竊盜,107-05-06,02,04,台北市松山區富錦街77巷2弄1~30號
341,汽車竊盜,107-05-11,00,02,台北市松山區光復南路1~30號
342,汽車竊盜,107-05-12,04,06,台北市大安區龍門里和平東路2段18巷1~30號
